time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,-6.9,-0.5,1.0,3.7,34317.0,54610.0,115241.0,40027.0
2000-02-01,-3.3,1.0,0.2,-0.2,33171.0,55150.0,115519.0,39935.0
2000-03-01,8.3,1.5,1.7,2.5,35912.0,55963.0,117470.0,40945.0
2000-04-01,1.4,1.8,1.3,2.9,36415.0,56984.0,119009.0,42122.0
2000-05-01,-0.8,2.0,1.0,1.2,36124.0,58148.0,120221.0,42641.0
2000-06-01,13.9,1.9,5.6,-1.0,41154.0,59228.0,126986.0,42212.0
2000-07-01,-13.2,1.8,0.8,0.7,35704.0,60276.0,127965.0,42526.0
2000-08-01,5.6,1.8,1.6,2.3,37713.0,61374.0,130014.0,43502.0
2000-09-01,-0.6,0.0,0.8,2.1,37504.0,61355.0,131015.0,44412.0
2000-10-01,-3.2,2.2,0.4,-2.1,36320.0,62712.0,131591.0,43495.0
2000-11-01,0.7,2.5,0.7,-0.9,36567.0,64302.0,132470.0,43117.0
2000-12-01,-5.8,1.5,-1.1,3.3,34449.0,65288.0,130967.0,44534.0
2001-01-01,-1.4,1.8,-1.3,-4.5,33966.0,66440.0,129280.0,42538.0
2001-02-01,-1.6,-0.5,-1.4,-1.9,33420.0,66128.0,127505.0,41726.0
2001-03-01,-7.4,-2.6,-2.2,-3.8,30957.0,64380.0,124648.0,40150.0
2001-04-01,-11.0,-1.8,-2.8,-8.7,27554.0,63239.0,121149.0,36643.0
2001-05-01,4.3,-1.3,-1.4,-2.9,28736.0,62398.0,119475.0,35574.0
2001-06-01,1.2,-0.9,-1.5,1.3,29088.0,61845.0,117689.0,36051.0
2001-07-01,-5.0,-2.9,-1.5,-5.0,27625.0,60062.0,115886.0,34241.0
2001-08-01,-0.1,-2.0,-1.1,-3.3,27598.0,58836.0,114567.0,33120.0
2001-09-01,-3.5,-3.8,-1.5,0.0,26632.0,56573.0,112822.0,33125.0
2001-10-01,-1.0,-3.2,-1.2,-2.2,26377.0,54758.0,111435.0,32408.0
2001-11-01,2.6,-2.7,-0.6,-0.4,27061.0,53302.0,110735.0,32290.0
2001-12-01,-0.3,-4.0,-1.0,1.7,26986.0,51188.0,109683.0,32826.0
2002-01-01,-11.2,0.2,-2.2,-4.2,23957.0,51299.0,107281.0,31460.0
2002-02-01,5.7,-1.7,-1.1,0.3,25330.0,50442.0,106107.0,31555.0
2002-03-01,-4.3,-0.9,-1.6,-0.8,24249.0,49973.0,104381.0,31313.0
2002-04-01,4.7,-0.7,-0.3,-1.1,25393.0,49605.0,104040.0,30961.0
2002-05-01,-1.5,-1.1,-0.8,0.4,25011.0,49068.0,103201.0,31071.0
2002-06-01,-4.8,-1.7,-1.0,-3.5,23810.0,48236.0,102213.0,29976.0
2002-07-01,-1.0,-0.3,-1.0,-0.7,23565.0,48094.0,101143.0,29775.0
2002-08-01,0.3,-0.3,-1.1,0.3,23643.0,47955.0,100030.0,29855.0
2002-09-01,-8.9,-0.6,-2.0,-3.6,21537.0,47668.0,97990.0,28792.0
2002-10-01,-0.4,-1.2,-1.8,-2.0,21460.0,47086.0,96248.0,28205.0
2002-11-01,7.4,-0.8,-0.8,2.7,23049.0,46724.0,95493.0,28961.0
2002-12-01,-1.2,-1.1,0.2,-5.4,22776.0,46208.0,95697.0,27401.0
2003-01-01,0.8,-1.9,0.0,3.4,22955.0,45324.0,95666.0,28320.0
2003-02-01,0.9,-0.7,0.2,0.3,23152.0,44986.0,95905.0,28419.0
2003-03-01,-1.4,-1.3,0.1,-0.8,22826.0,44388.0,95994.0,28179.0
2003-04-01,2.6,-1.7,0.0,2.5,23420.0,43631.0,96010.0,28896.0
2003-05-01,2.7,-1.1,0.8,0.0,24063.0,43138.0,96793.0,28899.0
2003-06-01,-2.8,-1.8,0.0,0.9,23387.0,42380.0,96757.0,29161.0
2003-07-01,2.1,-1.2,-0.4,-0.4,23871.0,41851.0,96403.0,29058.0
2003-08-01,3.1,-1.3,1.2,0.7,24607.0,41303.0,97527.0,29249.0
2003-09-01,2.5,-0.3,0.8,2.5,25217.0,41176.0,98292.0,29983.0
2003-10-01,4.6,0.0,1.5,2.5,26376.0,41158.0,99787.0,30744.0
2003-11-01,-5.7,-1.3,0.6,-2.2,24876.0,40615.0,100337.0,30078.0
2003-12-01,5.8,1.3,1.3,2.2,26323.0,41144.0,101622.0,30741.0
2004-01-01,-7.4,-3.3,-0.3,-1.9,24374.0,39769.0,101300.0,30170.0
2004-02-01,0.8,-1.1,0.6,-1.5,24571.0,39340.0,101914.0,29719.0
2004-03-01,5.4,1.3,1.8,0.4,25899.0,39841.0,103773.0,29844.0
2004-04-01,-4.7,0.1,0.1,2.1,24683.0,39879.0,103922.0,30469.0
2004-05-01,2.6,-0.3,1.1,-0.7,25327.0,39765.0,105094.0,30249.0
2004-06-01,-2.6,1.0,0.4,-0.4,24662.0,40149.0,105537.0,30116.0
2004-07-01,-4.7,-0.4,-0.9,2.3,23513.0,39996.0,104540.0,30797.0
2004-08-01,0.6,-0.5,-0.6,-1.1,23646.0,39794.0,103866.0,30466.0
2004-09-01,9.8,-0.5,2.0,-1.3,25956.0,39585.0,105930.0,30058.0
2004-10-01,-3.4,0.6,0.2,3.3,25080.0,39810.0,106168.0,31040.0
2004-11-01,-1.5,-1.5,0.2,-0.8,24707.0,39213.0,106384.0,30801.0
2004-12-01,1.6,-0.7,0.4,1.2,25105.0,38946.0,106769.0,31179.0
2005-01-01,0.3,1.8,0.6,-2.2,25188.0,39643.0,107376.0,30490.0
2005-02-01,0.5,0.6,0.7,0.0,25326.0,39888.0,108128.0,30482.0
2005-03-01,1.6,0.1,0.6,2.6,25735.0,39910.0,108723.0,31280.0
2005-04-01,-5.4,0.5,-0.3,-2.9,24351.0,40098.0,108407.0,30386.0
2005-05-01,1.2,1.6,0.1,0.7,24635.0,40752.0,108473.0,30595.0
2005-06-01,8.8,0.6,1.9,1.4,26798.0,41014.0,110556.0,31034.0
2005-07-01,-11.0,2.3,-0.3,-2.3,23857.0,41940.0,110276.0,30311.0
2005-08-01,9.2,1.3,1.1,3.3,26049.0,42490.0,111511.0,31311.0
2005-09-01,-5.2,1.3,-0.1,0.5,24689.0,43059.0,111414.0,31483.0
2005-10-01,-1.6,1.6,-0.6,-1.6,24296.0,43750.0,110752.0,30988.0
2005-11-01,3.2,2.1,0.0,1.4,25067.0,44684.0,110709.0,31409.0
