time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,-18.5,-2.0,2.1,6.2,9962.0,12322.0,44222.0,9060.0
2000-02-01,-14.3,3.8,-0.9,-1.5,8540.0,12795.0,43842.0,8920.0
2000-03-01,17.2,4.1,1.1,6.7,10005.0,13320.0,44328.0,9519.0
2000-04-01,7.8,2.4,2.6,1.3,10790.0,13643.0,45477.0,9641.0
2000-05-01,-10.6,4.7,-0.8,3.7,9642.0,14284.0,45121.0,9998.0
2000-06-01,48.1,3.0,10.3,-3.5,14281.0,14706.0,49752.0,9650.0
2000-07-01,-27.1,1.8,1.1,2.1,10408.0,14972.0,50309.0,9851.0
2000-08-01,-0.7,5.1,0.5,2.5,10335.0,15739.0,50549.0,10095.0
2000-09-01,10.6,-2.1,1.9,3.8,11434.0,15404.0,51505.0,10478.0
2000-10-01,-8.6,4.2,0.4,-2.0,10456.0,16057.0,51692.0,10269.0
2000-11-01,-0.9,4.2,0.2,0.0,10362.0,16737.0,51788.0,10266.0
2000-12-01,0.1,3.7,-0.3,2.8,10376.0,17356.0,51615.0,10549.0
2001-01-01,-8.7,2.9,-1.8,-1.3,9471.0,17861.0,50678.0,10408.0
2001-02-01,-5.5,1.2,-2.2,-3.4,8953.0,18082.0,49574.0,10057.0
2001-03-01,-5.3,-3.5,-2.9,-1.6,8482.0,17451.0,48161.0,9895.0
2001-04-01,-9.1,-4.2,-3.0,-7.5,7709.0,16720.0,46719.0,9151.0
2001-05-01,2.8,0.8,-2.3,-1.9,7926.0,16850.0,45667.0,8978.0
2001-06-01,-3.5,2.1,-2.6,-1.6,7647.0,17198.0,44477.0,8837.0
2001-07-01,-2.3,-3.2,-2.2,-4.2,7470.0,16646.0,43480.0,8467.0
2001-08-01,-5.0,-1.9,-2.5,-3.6,7096.0,16328.0,42413.0,8163.0
2001-09-01,-17.3,-4.8,-4.0,-7.2,5868.0,15548.0,40709.0,7572.0
2001-10-01,8.9,-4.3,-2.3,-3.0,6393.0,14872.0,39759.0,7343.0
2001-11-01,-3.4,-0.2,-1.8,-6.3,6173.0,14835.0,39051.0,6881.0
2001-12-01,15.9,-7.7,0.1,3.5,7152.0,13693.0,39081.0,7122.0
2002-01-01,-35.6,1.9,-3.7,-15.3,4605.0,13948.0,37654.0,6032.0
2002-02-01,16.9,-2.6,-2.2,3.1,5384.0,13588.0,36818.0,6220.0
2002-03-01,-17.3,-1.5,-3.8,-5.8,4452.0,13385.0,35411.0,5859.0
2002-04-01,20.5,0.2,-1.5,0.8,5363.0,13407.0,34866.0,5908.0
2002-05-01,-7.0,-2.1,-1.9,-4.6,4986.0,13130.0,34215.0,5637.0
2002-06-01,-0.4,-1.5,-1.7,-1.8,4967.0,12934.0,33645.0,5537.0
2002-07-01,-3.9,0.1,-1.2,-6.2,4773.0,12949.0,33226.0,5192.0
2002-08-01,-2.0,-1.6,-1.2,-2.1,4678.0,12743.0,32822.0,5082.0
2002-09-01,-39.5,-2.9,-7.0,0.7,2832.0,12369.0,30538.0,5116.0
2002-10-01,35.8,-2.6,-2.8,-8.2,3845.0,12045.0,29685.0,4698.0
2002-11-01,22.9,-1.2,-2.3,15.2,4725.0,11902.0,28996.0,5414.0
2002-12-01,-9.6,-2.1,-2.0,-10.4,4272.0,11658.0,28415.0,4853.0
2003-01-01,18.2,-1.1,0.8,-0.7,5048.0,11525.0,28645.0,4818.0
2003-02-01,0.5,-2.2,0.6,1.8,5071.0,11276.0,28810.0,4906.0
2003-03-01,9.5,-0.7,1.9,2.2,5552.0,11194.0,29350.0,5012.0
2003-04-01,-7.2,-2.4,1.4,-5.5,5153.0,10930.0,29765.0,4738.0
2003-05-01,-7.2,-0.2,0.5,-2.1,4782.0,10907.0,29910.0,4637.0
2003-06-01,-1.3,-2.2,-1.4,10.9,4719.0,10672.0,29487.0,5142.0
2003-07-01,10.9,-1.9,0.3,0.0,5233.0,10467.0,29578.0,5142.0
2003-08-01,-2.3,-2.3,0.1,-1.0,5113.0,10222.0,29601.0,5090.0
2003-09-01,11.2,3.2,1.9,0.4,5686.0,10549.0,30178.0,5109.0
2003-10-01,2.4,-1.5,2.0,1.9,5820.0,10388.0,30792.0,5206.0
2003-11-01,-14.0,-2.1,-1.5,5.0,5007.0,10167.0,30334.0,5465.0
2003-12-01,-6.0,0.0,-2.6,0.4,4705.0,10165.0,29551.0,5488.0
2004-01-01,-2.6,-7.7,-2.7,-2.2,4581.0,9382.0,28764.0,5368.0
2004-02-01,8.9,-2.3,-0.7,-3.5,4988.0,9170.0,28572.0,5180.0
2004-03-01,0.9,-2.2,0.0,-2.7,5033.0,8969.0,28566.0,5039.0
2004-04-01,6.2,-0.2,-0.3,7.6,5343.0,8948.0,28489.0,5420.0
2004-05-01,-6.6,-2.5,-1.4,-0.8,4989.0,8723.0,28103.0,5375.0
2004-06-01,-11.2,-2.9,-1.9,-7.6,4430.0,8471.0,27567.0,4966.0
2004-07-01,0.2,-2.8,-2.2,1.9,4441.0,8234.0,26950.0,5058.0
2004-08-01,6.6,-1.4,-2.1,4.9,4735.0,8117.0,26381.0,5304.0
2004-09-01,26.1,-2.2,4.5,-9.6,5972.0,7939.0,27558.0,4795.0
2004-10-01,4.3,-1.5,4.0,6.8,6231.0,7816.0,28667.0,5122.0
2004-11-01,-24.5,-5.7,-0.9,-3.0,4707.0,7370.0,28407.0,4967.0
2004-12-01,8.1,-0.6,0.6,-1.2,5088.0,7324.0,28590.0,4905.0
2005-01-01,4.4,3.2,1.2,1.5,5310.0,7562.0,28923.0,4977.0
2005-02-01,-8.2,1.2,0.3,-4.1,4874.0,7649.0,29022.0,4775.0
2005-03-01,8.8,3.5,0.5,7.7,5303.0,7920.0,29181.0,5144.0
2005-04-01,-20.1,-2.2,-0.7,-13.8,4235.0,7744.0,28983.0,4433.0
2005-05-01,11.5,4.9,-0.6,10.3,4724.0,8125.0,28817.0,4890.0
2005-06-01,11.0,3.5,1.7,-3.0,5243.0,8406.0,29318.0,4742.0
2005-07-01,-7.1,5.0,-0.4,5.0,4869.0,8828.0,29208.0,4979.0
2005-08-01,0.2,4.2,0.0,-2.0,4881.0,9199.0,29210.0,4879.0
2005-09-01,-15.4,2.2,-2.2,-2.0,4129.0,9398.0,28559.0,4780.0
2005-10-01,17.1,6.4,-1.1,7.6,4836.0,9999.0,28254.0,5141.0
2005-11-01,-2.9,5.3,-0.7,-4.8,4697.0,10524.0,28057.0,4894.0
2005-12-01,-1.3,2.0,-2.2,7.2,4637.0,10737.0,27449.0,5245.0
2006-01-01,20.0,1.1,-1.5,13.9,5564.0,10856.0,27037.0,5976.0
2006-02-01,5.2,0.1,0.4,-3.8,5855.0,10864.0,27144.0,5748.0
2006-03-01,15.1,-2.9,3.8,-0.7,6737.0,10553.0,28175.0,5706.0
2006-04-01,-18.1,3.3,-3.0,11.6,5518.0,10899.0,27324.0,6369.0
2006-05-01,3.0,-4.2,-0.8,-7.5,5684.0,10440.0,27115.0,5893.0
2006-06-01,7.3,-2.1,0.7,0.2,6101.0,10218.0,27313.0,5903.0
2006-07-01,-8.7,-0.5,0.5,-8.0,5571.0,10166.0,27455.0,5429.0
2006-08-01,5.9,-1.2,0.2,7.7,5900.0,10044.0,27506.0,5849.0
2006-09-01,8.0,-0.2,1.3,2.8,6373.0,10027.0,27869.0,6010.0
2006-10-01,-13.1,0.8,-2.2,2.3,5535.0,10105.0,27256.0,6148.0
