time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,-8.4,-0.7,-6.1,8.3,8153.0,8601.0,9364.0,8759.0
2000-02-01,8.0,-1.5,-0.6,1.1,8802.0,8471.0,9307.0,8859.0
2000-03-01,-0.8,-1.0,-2.8,1.5,8731.0,8389.0,9042.0,8996.0
2000-04-01,0.0,-0.7,-6.5,3.6,8734.0,8327.0,8457.0,9319.0
2000-05-01,14.5,1.6,4.8,3.0,10002.0,8462.0,8865.0,9594.0
2000-06-01,-14.9,0.4,-5.4,-6.3,8515.0,8493.0,8387.0,8993.0
2000-07-01,0.8,2.0,-5.4,0.5,8585.0,8664.0,7937.0,9035.0
2000-08-01,18.7,1.6,10.5,3.6,10193.0,8802.0,8770.0,9360.0
2000-09-01,-13.1,-1.1,-8.4,2.5,8853.0,8701.0,8030.0,9593.0
2000-10-01,0.2,1.2,-3.2,-4.8,8873.0,8807.0,7771.0,9132.0
2000-11-01,5.6,2.4,2.7,0.3,9370.0,9019.0,7980.0,9161.0
2000-12-01,-9.3,0.0,-7.5,-0.8,8495.0,9020.0,7384.0,9091.0
2001-01-01,-1.5,1.2,-5.9,-3.2,8367.0,9128.0,6952.0,8799.0
2001-02-01,2.6,-0.9,3.9,-5.5,8586.0,9046.0,7223.0,8315.0
2001-03-01,-3.6,-4.8,-1.1,0.5,8277.0,8608.0,7142.0,8358.0
2001-04-01,-12.2,0.1,-3.4,-10.2,7264.0,8613.0,6902.0,7504.0
2001-05-01,3.8,-4.6,2.7,-2.0,7539.0,8215.0,7086.0,7355.0
2001-06-01,-4.0,-8.4,-0.9,-0.7,7240.0,7521.0,7024.0,7302.0
2001-07-01,-6.3,-1.2,-4.8,-2.5,6781.0,7434.0,6686.0,7119.0
2001-08-01,4.1,-2.4,2.6,-3.3,7059.0,7259.0,6860.0,6885.0
2001-09-01,-12.0,-8.0,-14.4,4.6,6214.0,6676.0,5872.0,7202.0
2001-10-01,9.8,-1.7,1.7,-6.6,6825.0,6561.0,5972.0,6725.0
2001-11-01,6.1,-5.1,6.2,2.2,7244.0,6224.0,6345.0,6871.0
2001-12-01,-12.1,-7.7,-9.5,1.4,6366.0,5744.0,5743.0,6968.0
2002-01-01,2.5,1.0,-2.0,-4.7,6526.0,5803.0,5627.0,6642.0
2002-02-01,12.9,-1.4,5.8,6.0,7367.0,5719.0,5954.0,7040.0
2002-03-01,-11.2,-0.6,-3.1,-4.4,6545.0,5686.0,5769.0,6730.0
2002-04-01,-6.2,-0.2,-6.0,-3.6,6140.0,5676.0,5424.0,6485.0
2002-05-01,11.7,0.9,4.5,1.9,6857.0,5727.0,5670.0,6611.0
2002-06-01,-15.2,-0.3,-6.2,-6.7,5813.0,5711.0,5318.0,6165.0
2002-07-01,-3.1,0.4,-7.1,-2.5,5631.0,5734.0,4939.0,6010.0
2002-08-01,10.9,-1.3,-1.1,4.9,6247.0,5657.0,4883.0,6303.0
