time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,0.3,6.2,2.8,-5.5,3040.0,11831.0,36606.0,2050.0
2000-02-01,-68.5,-1.4,-2.6,-6.8,957.0,11666.0,35653.0,1910.0
2000-03-01,141.9,-13.2,0.1,18.8,2315.0,10124.0,35699.0,2269.0
2000-04-01,-5.3,1.7,0.4,-9.3,2193.0,10297.0,35835.0,2057.0
2000-05-01,-56.2,1.1,-3.0,-0.7,960.0,10407.0,34753.0,2042.0
2000-06-01,854.9,3.5,19.8,12.0,9167.0,10770.0,41632.0,2288.0
2000-07-01,-80.8,-3.9,-0.8,-9.0,1761.0,10353.0,41310.0,2083.0
2000-08-01,51.6,-0.5,2.1,-13.3,2670.0,10304.0,42173.0,1807.0
2000-09-01,-12.4,1.6,1.1,4.4,2340.0,10464.0,42627.0,1886.0
2000-10-01,-7.5,-1.9,0.4,6.6,2165.0,10269.0,42781.0,2011.0
2000-11-01,6.5,1.5,0.7,0.2,2306.0,10418.0,43071.0,2016.0
2000-12-01,-41.8,-9.0,-1.5,-1.2,1341.0,9485.0,42421.0,1991.0
2001-01-01,21.8,4.0,-1.1,5.3,1633.0,9865.0,41957.0,2097.0
2001-02-01,0.5,0.0,-1.0,-1.7,1641.0,9869.0,41537.0,2061.0
2001-03-01,7.2,-9.9,-0.6,-2.8,1759.0,8894.0,41292.0,2004.0
2001-04-01,5.3,-2.8,-0.4,1.2,1852.0,8649.0,41115.0,2029.0
2001-05-01,67.9,1.9,2.3,6.2,3109.0,8814.0,42070.0,2154.0
2001-06-01,-32.6,-2.9,-0.8,12.5,2097.0,8561.0,41744.0,2423.0
2001-07-01,16.9,2.5,0.4,-6.4,2451.0,8776.0,41927.0,2268.0
2001-08-01,-30.6,1.5,-1.8,7.7,1701.0,8906.0,41186.0,2442.0
2001-09-01,45.0,-2.9,-0.5,9.0,2466.0,8645.0,40989.0,2663.0
2001-10-01,483.3,1.1,29.6,-14.9,14385.0,8742.0,53107.0,2267.0
2001-11-01,-82.9,0.6,-0.1,12.0,2462.0,8791.0,53029.0,2540.0
2001-12-01,-32.5,4.7,-1.9,5.9,1662.0,9206.0,52002.0,2689.0
2002-01-01,70.4,0.0,0.5,-4.9,2832.0,9202.0,52276.0,2558.0
2002-02-01,70.2,0.2,4.1,4.3,4819.0,9217.0,54428.0,2667.0
2002-03-01,11.2,-1.4,4.7,5.0,5361.0,9092.0,56989.0,2800.0
2002-04-01,-55.7,2.3,-0.5,-4.0,2375.0,9305.0,56677.0,2687.0
2002-05-01,-5.9,-1.2,-1.1,5.7,2234.0,9191.0,56072.0,2839.0
2002-06-01,1.4,1.2,-1.3,5.3,2266.0,9298.0,55349.0,2989.0
2002-07-01,177.9,-1.2,6.0,-0.8,6298.0,9184.0,58681.0,2966.0
2002-08-01,-44.5,5.2,1.0,-2.0,3494.0,9665.0,59267.0,2908.0
2002-09-01,-28.5,-2.7,-1.1,8.1,2499.0,9400.0,58622.0,3144.0
2002-10-01,-12.0,-0.3,-1.1,-8.7,2199.0,9373.0,57951.0,2870.0
2002-11-01,32.8,-0.6,-0.5,11.9,2920.0,9318.0,57660.0,3211.0
2002-12-01,-21.3,0.6,-0.5,-19.8,2298.0,9371.0,57383.0,2575.0
