time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,27.5,2.4,1.6,-0.5,7159.0,20447.0,105533.0,5520.0
2000-02-01,-27.9,-0.6,-0.2,-2.3,5162.0,20315.0,105302.0,5393.0
2000-03-01,-26.9,-5.7,-1.8,5.3,3773.0,19149.0,103395.0,5680.0
2000-04-01,-5.4,2.0,-1.8,-4.0,3568.0,19529.0,101509.0,5454.0
2000-05-01,40.8,-2.2,-0.5,0.9,5023.0,19090.0,101029.0,5503.0
2000-06-01,415.5,3.6,19.9,5.5,25893.0,19783.0,121119.0,5803.0
2000-07-01,-81.4,-4.3,-0.5,-5.8,4826.0,18934.0,120478.0,5467.0
2000-08-01,15.4,-2.4,0.2,-1.5,5570.0,18489.0,120664.0,5384.0
2000-09-01,-21.1,1.6,-0.9,1.1,4392.0,18793.0,119615.0,5441.0
2000-10-01,10.7,-3.1,-0.5,0.4,4862.0,18203.0,119013.0,5464.0
2000-11-01,33.9,1.3,0.7,3.7,6511.0,18443.0,119858.0,5666.0
2000-12-01,-60.4,-6.0,-2.8,4.6,2580.0,17337.0,116511.0,5927.0
2001-01-01,67.7,-0.2,-1.3,-1.6,4326.0,17305.0,115007.0,5830.0
2001-02-01,23.6,-4.4,-0.2,-5.0,5347.0,16543.0,114817.0,5537.0
2001-03-01,54.6,-4.5,2.4,-0.8,8269.0,15796.0,117592.0,5494.0
2001-04-01,-31.2,3.2,0.0,2.7,5687.0,16301.0,117635.0,5644.0
2001-05-01,9.5,-3.0,0.3,4.9,6226.0,15816.0,117943.0,5918.0
2001-06-01,-19.1,-5.2,-1.2,8.9,5034.0,14988.0,116533.0,6444.0
2001-07-01,16.5,-0.7,-0.2,-5.0,5864.0,14890.0,116278.0,6119.0
2001-08-01,-11.6,-0.7,-0.9,2.3,5182.0,14781.0,115203.0,6257.0
2001-09-01,46.5,-0.1,1.0,3.5,7592.0,14766.0,116320.0,6475.0
2001-10-01,139.0,-3.0,10.2,-2.7,18144.0,14326.0,128167.0,6297.0
2001-11-01,-68.6,-0.4,-0.3,-3.2,5702.0,14273.0,127775.0,6094.0
2001-12-01,11.5,-3.6,-0.6,17.4,6360.0,13762.0,126979.0,7156.0
2002-01-01,-35.4,1.3,-1.9,-9.4,4110.0,13935.0,124604.0,6485.0
2002-02-01,103.7,1.1,2.0,-9.0,8371.0,14084.0,127072.0,5903.0
2002-03-01,5.4,-1.2,1.8,10.6,8821.0,13912.0,129366.0,6527.0
2002-04-01,-27.0,1.1,0.2,-4.6,6438.0,14068.0,129577.0,6227.0
2002-05-01,-18.7,-0.4,-0.8,-0.1,5231.0,14013.0,128588.0,6220.0
2002-06-01,16.7,0.2,-0.2,3.1,6104.0,14035.0,128282.0,6410.0
2002-07-01,-8.3,-1.5,-0.5,-2.2,5596.0,13824.0,127608.0,6270.0
2002-08-01,24.9,4.8,0.6,-1.0,6988.0,14487.0,128388.0,6208.0
2002-09-01,2.9,-2.3,0.5,6.1,7189.0,14147.0,128989.0,6588.0
2002-10-01,-36.4,-0.3,-1.4,-3.5,4573.0,14102.0,127203.0,6359.0
2002-11-01,25.6,-0.4,-0.8,7.2,5744.0,14046.0,126133.0,6814.0
2002-12-01,22.4,2.5,0.6,-7.9,7032.0,14391.0,126887.0,6278.0
2003-01-01,4.0,-1.4,0.3,10.3,7315.0,14193.0,127276.0,6926.0
2003-02-01,19.3,1.1,1.5,-1.2,8728.0,14346.0,129163.0,6841.0
2003-03-01,-7.1,-1.1,0.9,2.1,8107.0,14194.0,130283.0,6987.0
2003-04-01,17.1,2.6,1.8,1.7,9494.0,14570.0,132674.0,7103.0
2003-05-01,-7.1,0.1,1.4,-1.3,8817.0,14590.0,134480.0,7011.0
2003-06-01,-16.5,2.1,0.3,-1.5,7363.0,14901.0,134936.0,6907.0
2003-07-01,-1.3,0.1,-0.1,7.7,7269.0,14918.0,134765.0,7440.0
2003-08-01,27.6,0.7,1.5,-2.3,9277.0,15019.0,136772.0,7270.0
2003-09-01,-19.1,-1.1,0.0,2.4,7508.0,14858.0,136835.0,7445.0
2003-10-01,17.4,1.9,1.1,-1.0,8815.0,15138.0,138277.0,7373.0
2003-11-01,-17.5,1.2,0.4,-9.0,7268.0,15313.0,138838.0,6707.0
2003-12-01,41.9,3.2,2.1,9.9,10311.0,15798.0,141777.0,7372.0
2004-01-01,-6.4,-1.1,1.5,1.4,9652.0,15625.0,143955.0,7474.0
2004-02-01,-5.6,2.4,0.2,17.3,9114.0,15994.0,144305.0,8764.0
