time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,1.6,-0.4,0.5,3.7,192052.0,271056.0,391750.0,196933.0
2000-02-01,-7.0,0.7,-0.1,-5.7,178520.0,272942.0,391512.0,185800.0
2000-03-01,4.7,0.7,0.8,2.7,186944.0,274918.0,394566.0,190874.0
2000-04-01,1.6,0.5,0.2,2.8,189901.0,276365.0,395442.0,196271.0
2000-05-01,-3.5,-0.2,-0.1,-2.4,183199.0,275936.0,394900.0,191470.0
2000-06-01,5.2,0.5,1.9,0.9,192711.0,277413.0,402330.0,193104.0
2000-07-01,-4.8,0.6,0.1,-1.1,183526.0,279158.0,402760.0,190897.0
2000-08-01,-0.7,0.6,0.4,-1.3,182241.0,280869.0,404372.0,188467.0
2000-09-01,6.6,-0.1,1.7,3.6,194299.0,280563.0,411280.0,195300.0
2000-10-01,-7.2,0.7,-0.2,-3.2,180302.0,282516.0,410370.0,188963.0
2000-11-01,0.8,0.7,0.7,-1.4,181736.0,284458.0,413309.0,186226.0
2000-12-01,2.0,0.2,1.0,1.8,185300.0,285152.0,417610.0,189581.0
2001-01-01,-7.1,0.3,-0.6,-4.4,172069.0,286125.0,415290.0,181274.0
2001-02-01,1.3,-0.5,-1.0,2.1,174230.0,284745.0,410981.0,185070.0
2001-03-01,-0.7,-1.0,-0.7,-1.5,173019.0,281855.0,408123.0,182213.0
2001-04-01,-4.5,-0.8,-0.9,-4.3,165193.0,279599.0,404592.0,174314.0
2001-05-01,3.1,-0.9,-0.9,2.8,170387.0,276968.0,400904.0,179239.0
2001-06-01,-0.1,-0.9,-0.2,-1.6,170143.0,274351.0,399914.0,176310.0
2001-07-01,-4.1,-1.6,-1.1,-2.2,163190.0,269835.0,395498.0,172419.0
2001-08-01,0.9,-1.0,-0.9,-0.1,164593.0,267100.0,392086.0,172208.0
2001-09-01,-5.6,-1.4,-1.7,-3.2,155425.0,263355.0,385483.0,166776.0
2001-10-01,-1.9,-1.3,-2.3,-0.5,152471.0,259863.0,376637.0,165961.0
2001-11-01,3.2,-1.7,-1.3,0.5,157390.0,255462.0,371753.0,166803.0
2001-12-01,0.5,-2.0,-1.3,0.7,158149.0,250400.0,366800.0,167890.0
2002-01-01,-0.5,-0.8,-1.4,-0.3,157413.0,248450.0,361846.0,167468.0
2002-02-01,3.1,-0.8,-0.2,0.3,162338.0,246510.0,361203.0,168032.0
2002-03-01,-2.8,-0.8,-1.0,-0.7,157855.0,244458.0,357594.0,166802.0
2002-04-01,4.2,-0.5,-0.8,3.4,164479.0,243171.0,354844.0,172456.0
2002-05-01,0.9,-0.4,-0.3,-0.1,165886.0,242261.0,353673.0,172278.0
2002-06-01,-4.2,0.1,-2.0,-0.8,158878.0,242471.0,346756.0,170973.0
2002-07-01,3.3,-0.2,-0.6,0.2,164086.0,242028.0,344741.0,171241.0
2002-08-01,3.0,-0.1,0.4,0.9,169023.0,241711.0,346062.0,172801.0
2002-09-01,-6.2,0.2,-1.8,-1.6,158513.0,242308.0,339775.0,170015.0
2002-10-01,3.2,-0.3,-0.6,0.4,163571.0,241648.0,337716.0,170633.0
2002-11-01,-0.2,-0.2,-0.7,-0.1,163175.0,241064.0,335508.0,170540.0
2002-12-01,-4.3,0.9,-1.0,-3.6,156085.0,243212.0,332065.0,164357.0
2003-01-01,3.8,-0.7,-0.2,2.2,161973.0,241527.0,331463.0,167909.0
2003-02-01,1.3,0.5,0.1,0.7,164139.0,242739.0,331960.0,169148.0
2003-03-01,-0.7,-0.7,-0.4,0.3,162941.0,241035.0,330652.0,169691.0
2003-04-01,-2.7,-0.7,-0.4,-2.5,158517.0,239397.0,329174.0,165487.0
2003-05-01,1.8,-0.3,-0.3,1.5,161370.0,238596.0,328195.0,167968.0
2003-06-01,2.3,-1.3,0.5,0.7,165123.0,235389.0,329920.0,169136.0
2003-07-01,-0.3,-1.1,-0.5,1.1,164584.0,232728.0,328412.0,170925.0
2003-08-01,-1.4,-0.6,0.1,-1.8,162258.0,231297.0,328670.0,167766.0
2003-09-01,4.7,-0.7,0.6,3.4,169820.0,229563.0,330632.0,173389.0
2003-10-01,1.7,-0.1,1.5,0.1,172776.0,229433.0,335741.0,173530.0
2003-11-01,0.1,-0.8,1.0,1.0,172903.0,227559.0,339052.0,175344.0
2003-12-01,-1.3,0.1,0.9,-1.3,170591.0,227840.0,342233.0,173113.0
2004-01-01,-1.4,-0.3,0.5,-0.7,168214.0,227248.0,344088.0,171833.0
2004-02-01,2.0,0.1,1.3,0.6,171570.0,227480.0,348568.0,172852.0
2004-03-01,5.8,0.6,2.0,4.3,181448.0,228760.0,355615.0,180205.0
