time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,0.4,0.4,1.1,2.4,139613.0,217698.0,270032.0,143588.0
2000-02-01,-5.1,0.5,0.2,-3.2,132425.0,218829.0,270500.0,138999.0
2000-03-01,5.6,0.2,1.0,3.7,139841.0,219323.0,273236.0,144089.0
2000-04-01,1.1,1.2,0.7,1.9,141338.0,221991.0,275016.0,146804.0
2000-05-01,-2.4,0.5,0.7,-2.2,137890.0,223004.0,277052.0,143583.0
2000-06-01,4.1,1.0,2.4,0.7,143496.0,225248.0,283723.0,144648.0
2000-07-01,-3.9,0.8,0.2,0.4,137968.0,227016.0,284263.0,145229.0
2000-08-01,0.5,1.0,0.8,-0.7,138633.0,229313.0,286473.0,144261.0
2000-09-01,2.0,0.0,0.8,2.0,141463.0,229287.0,288657.0,147188.0
2000-10-01,-3.0,1.0,0.2,-1.9,137264.0,231522.0,289213.0,144459.0
2000-11-01,-0.9,0.8,0.2,-1.0,136045.0,233269.0,289676.0,143011.0
2000-12-01,-0.5,0.6,-0.7,2.0,135323.0,234566.0,287681.0,145900.0
2001-01-01,-2.7,0.6,-0.9,-3.3,131646.0,235978.0,285198.0,141014.0
2001-02-01,-0.2,-0.6,-1.2,0.2,131335.0,234620.0,281711.0,141353.0
2001-03-01,-4.4,-1.1,-2.2,-2.4,125568.0,232097.0,275637.0,137978.0
2001-04-01,-3.8,-1.1,-2.1,-4.1,120800.0,229535.0,269764.0,132263.0
2001-05-01,4.4,-1.0,-1.2,1.7,126158.0,227150.0,266620.0,134466.0
2001-06-01,-0.8,-1.0,-0.6,-1.9,125138.0,224982.0,265039.0,131896.0
2001-07-01,-2.7,-1.8,-0.9,-2.3,121761.0,220880.0,262707.0,128906.0
2001-08-01,0.2,-1.2,-0.9,-0.3,122061.0,218239.0,260461.0,128510.0
2001-09-01,-3.0,-1.6,-0.9,-2.4,118407.0,214711.0,258142.0,125474.0
2001-10-01,-2.8,-1.6,-1.8,-0.8,115125.0,211169.0,253402.0,124509.0
2001-11-01,1.8,-1.7,-0.4,-1.4,117164.0,207523.0,252272.0,122823.0
2001-12-01,1.0,-2.1,-0.2,0.7,118387.0,203121.0,251762.0,123685.0
2002-01-01,-4.0,-0.5,-1.5,-1.0,113631.0,202155.0,248003.0,122491.0
2002-02-01,1.8,-0.9,-1.2,1.0,115732.0,200280.0,245105.0,123681.0
