time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,2.6,-0.1,1.0,3.5,201360.0,295738.0,510599.0,203252.0
2000-02-01,-8.7,0.5,-0.2,-5.6,183911.0,297334.0,509641.0,191911.0
2000-03-01,4.5,0.1,0.3,2.8,192130.0,297522.0,511421.0,197334.0
2000-04-01,1.5,0.6,-0.1,2.7,195044.0,299351.0,511144.0,202567.0
2000-05-01,-3.3,-0.2,-0.3,-2.4,188606.0,298729.0,509757.0,197722.0
2000-06-01,16.5,0.9,5.4,1.1,219745.0,301353.0,537504.0,199821.0
2000-07-01,-13.9,0.1,0.0,-1.3,189265.0,301769.0,537314.0,197256.0
2000-08-01,-0.3,0.6,0.4,-1.4,188730.0,303456.0,539400.0,194482.0
2000-09-01,5.9,0.0,1.2,3.6,199947.0,303409.0,545765.0,201491.0
2000-10-01,-6.9,0.4,-0.3,-3.1,186158.0,304689.0,544382.0,195292.0
2000-11-01,1.7,0.7,0.8,-1.4,189392.0,306746.0,548548.0,192655.0
2000-12-01,-0.4,-0.2,0.2,1.9,188659.0,306002.0,549507.0,196282.0
2001-01-01,-6.2,0.3,-0.7,-4.3,177056.0,307050.0,545536.0,187912.0
2001-02-01,1.8,-0.7,-0.8,1.9,180276.0,304884.0,540932.0,191411.0
2001-03-01,1.1,-1.4,0.0,-1.5,182209.0,300611.0,540904.0,188573.0
2001-04-01,-5.7,-0.7,-0.6,-4.2,171850.0,298546.0,537624.0,180720.0
2001-05-01,3.4,-1.0,-0.6,2.9,177749.0,295452.0,534563.0,185974.0
2001-06-01,-0.8,-1.2,-0.4,-1.3,176350.0,292023.0,532521.0,183569.0
2001-07-01,-3.5,-1.6,-0.8,-2.3,170129.0,287406.0,528062.0,179401.0
2001-08-01,0.2,-1.0,-0.9,-0.1,170484.0,284566.0,523516.0,179233.0
2001-09-01,-3.7,-1.3,-1.0,-2.8,164123.0,280747.0,518114.0,174273.0
2001-10-01,4.5,-1.4,0.6,-0.7,171530.0,276897.0,521240.0,173048.0
2001-11-01,-4.5,-1.6,-1.1,0.4,163811.0,272418.0,515757.0,173823.0
2001-12-01,0.9,-1.8,-1.1,1.2,165304.0,267409.0,509910.0,175939.0
2002-01-01,-1.2,-0.7,-1.3,-0.6,163324.0,265444.0,503401.0,174934.0
2002-02-01,5.6,-0.7,0.5,0.0,172406.0,263550.0,505885.0,174973.0
2002-03-01,-2.6,-0.9,-0.2,-0.4,167853.0,261241.0,504730.0,174346.0
2002-04-01,2.4,-0.4,-0.5,3.1,171852.0,260136.0,502106.0,179703.0
2002-05-01,0.0,-0.4,-0.5,-0.1,171854.0,259112.0,499674.0,179507.0
2002-06-01,-3.4,0.2,-1.5,-0.5,166070.0,259518.0,492380.0,178542.0
2002-07-01,4.9,-0.3,0.2,0.0,174282.0,258820.0,493321.0,178481.0
2002-08-01,1.6,0.1,0.4,0.9,177126.0,259111.0,495426.0,180120.0
2002-09-01,-5.8,0.1,-1.2,-1.3,166838.0,259443.0,489727.0,177752.0
2002-10-01,1.4,-0.3,-0.8,0.2,169134.0,258716.0,485819.0,178045.0
2002-11-01,0.5,-0.3,-0.7,0.2,170023.0,258061.0,482514.0,178485.0
2002-12-01,-3.6,0.9,-0.6,-3.8,163962.0,260476.0,479610.0,171695.0
2003-01-01,3.7,-0.8,-0.1,2.4,169994.0,258514.0,479051.0,175887.0
2003-02-01,2.4,0.7,0.5,0.7,174113.0,260266.0,481577.0,177093.0
