time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,2.2,-0.3,1.0,3.9,144856.0,235586.0,510599.0,139924.0
2000-02-01,-10.0,0.7,-0.2,-6.1,130377.0,237301.0,509641.0,131335.0
2000-03-01,5.2,0.1,0.3,3.1,137161.0,237455.0,511421.0,135381.0
2000-04-01,2.0,0.3,-0.1,3.6,139928.0,238178.0,511144.0,140205.0
2000-05-01,-2.9,0.1,-0.3,-2.1,135833.0,238490.0,509757.0,137220.0
2000-06-01,21.9,1.0,5.4,0.5,165607.0,240976.0,537504.0,137860.0
2000-07-01,-17.2,0.0,0.0,-0.4,137103.0,240953.0,537314.0,137293.0
2000-08-01,1.2,0.5,0.4,-0.4,138771.0,242258.0,539400.0,136685.0
2000-09-01,4.9,0.1,1.2,1.9,145618.0,242516.0,545765.0,139253.0
2000-10-01,-7.6,0.2,-0.3,-2.4,134557.0,243035.0,544382.0,135940.0
2000-11-01,3.5,0.6,0.8,-0.7,139206.0,244557.0,548548.0,135040.0
2000-12-01,-1.0,-0.4,0.2,1.3,137810.0,243491.0,549507.0,136851.0
2001-01-01,-6.3,0.2,-0.7,-2.8,129101.0,244002.0,545536.0,133072.0
2001-02-01,0.7,-0.9,-0.8,1.2,130032.0,241754.0,540932.0,134636.0
2001-03-01,1.2,-1.4,0.0,-2.2,131606.0,238266.0,540904.0,131634.0
2001-04-01,-6.5,-0.9,-0.6,-4.0,123025.0,236167.0,537624.0,126305.0
2001-05-01,3.1,-1.1,-0.6,2.8,126796.0,233574.0,534563.0,129857.0
2001-06-01,-0.6,-1.5,-0.4,-1.4,126051.0,230121.0,532521.0,128093.0
2001-07-01,-4.8,-1.5,-0.8,-2.8,120027.0,226661.0,528062.0,124486.0
2001-08-01,0.4,-1.0,-0.9,0.4,120481.0,224316.0,523516.0,125027.0
2001-09-01,-3.9,-1.2,-1.0,-3.1,115746.0,221631.0,518114.0,121148.0
2001-10-01,6.2,-1.4,0.6,-1.1,122937.0,218462.0,521240.0,119811.0
2001-11-01,-7.1,-1.6,-1.1,-0.1,114240.0,214947.0,515757.0,119723.0
2001-12-01,0.5,-1.9,-1.1,0.8,114782.0,210964.0,509910.0,120629.0
2002-01-01,-2.1,-0.9,-1.3,-1.4,112406.0,209137.0,503401.0,118915.0
2002-02-01,8.7,-0.7,0.5,0.7,122233.0,207723.0,505885.0,119749.0
2002-03-01,-2.7,-1.2,-0.2,0.3,118940.0,205157.0,504730.0,120095.0
2002-04-01,-0.2,-0.5,-0.5,1.0,118664.0,204183.0,502106.0,121288.0
2002-05-01,0.5,-0.7,-0.5,0.3,119235.0,202774.0,499674.0,121667.0
2002-06-01,-4.4,0.2,-1.5,-0.3,113950.0,203249.0,492380.0,121244.0
2002-07-01,5.7,-0.4,0.2,-1.4,120438.0,202372.0,493321.0,119497.0
2002-08-01,2.1,0.2,0.4,1.1,122932.0,202818.0,495426.0,120827.0
2002-09-01,-6.4,-0.3,-1.2,-0.1,115066.0,202238.0,489727.0,120765.0
2002-10-01,0.6,-0.2,-0.8,-0.9,115754.0,201875.0,485819.0,119662.0
2002-11-01,1.1,-0.3,-0.7,0.6,117084.0,201222.0,482514.0,120389.0
2002-12-01,-3.6,1.4,-0.6,-3.9,112831.0,203997.0,479610.0,115735.0
2003-01-01,2.9,-1.0,-0.1,0.8,116048.0,202049.0,479051.0,116607.0
2003-02-01,4.5,0.7,0.5,1.8,121274.0,203524.0,481577.0,118748.0
2003-03-01,-1.8,-0.6,0.0,0.3,119034.0,202304.0,481487.0,119124.0
