time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,3.8,0.3,-1.7,5.0,43668.0,22708.0,16127.0,43954.0
2000-02-01,-8.8,0.9,-1.4,-8.9,39808.0,22914.0,15894.0,40041.0
2000-03-01,2.4,-1.2,-0.9,2.1,40749.0,22638.0,15751.0,40892.0
2000-04-01,-0.3,0.8,-3.8,0.8,40644.0,22817.0,15156.0,41239.0
2000-05-01,-4.7,0.5,-1.8,-5.4,38730.0,22926.0,14878.0,39008.0
2000-06-01,3.1,0.3,-3.2,3.6,39915.0,22992.0,14398.0,40395.0
2000-07-01,-3.4,0.0,-0.4,-4.4,38556.0,22987.0,14334.0,38620.0
2000-08-01,-7.5,0.8,-1.9,-7.0,35658.0,23167.0,14057.0,35935.0
2000-09-01,11.8,0.5,-1.0,11.4,39880.0,23293.0,13914.0,40023.0
2000-10-01,-6.0,-0.3,0.3,-6.5,37481.0,23228.0,13954.0,37441.0
2000-11-01,-4.4,-0.1,1.3,-4.8,35816.0,23208.0,14130.0,35640.0
2000-12-01,0.5,-1.1,-3.0,2.2,35999.0,22942.0,13709.0,36420.0
2001-01-01,-8.2,-0.9,-0.1,-9.2,33062.0,22741.0,13698.0,33073.0
2001-02-01,7.0,0.2,-0.8,7.3,35373.0,22782.0,13594.0,35477.0
2001-03-01,4.4,-2.4,1.0,3.7,36913.0,22243.0,13734.0,36773.0
2001-04-01,-4.0,1.2,2.8,-4.7,35420.0,22514.0,14117.0,35037.0
2001-05-01,3.9,-1.6,-2.0,5.8,36809.0,22149.0,13841.0,37085.0
2001-06-01,-2.0,-0.8,-0.8,-2.5,36055.0,21980.0,13734.0,36162.0
2001-07-01,-1.7,-1.6,-2.1,-1.2,35454.0,21636.0,13452.0,35736.0
2001-08-01,0.8,-0.5,-0.8,0.2,35723.0,21520.0,13350.0,35825.0
2001-09-01,-6.4,-1.2,-1.1,-6.2,33450.0,21270.0,13208.0,33592.0
2001-10-01,1.8,-0.5,-2.4,2.3,34044.0,21171.0,12892.0,34360.0
2001-11-01,6.3,-2.2,-0.2,5.4,36193.0,20710.0,12866.0,36219.0
2001-12-01,1.3,-1.0,-0.3,1.3,36656.0,20502.0,12825.0,36697.0
2002-01-01,2.9,-2.7,2.1,2.0,37703.0,19945.0,13088.0,37440.0
2002-02-01,-2.8,-1.0,0.4,-2.2,36657.0,19753.0,13134.0,36611.0
2002-03-01,-1.8,1.2,1.7,-2.2,36008.0,19994.0,13354.0,35788.0
2002-04-01,13.9,1.7,1.1,14.2,41014.0,20328.0,13502.0,40866.0
2002-05-01,-1.9,1.0,1.4,-2.0,40235.0,20537.0,13688.0,40049.0
2002-06-01,-2.3,0.9,0.9,-2.1,39321.0,20713.0,13805.0,39204.0
2002-07-01,4.0,1.5,1.6,3.8,40900.0,21022.0,14021.0,40684.0
2002-08-01,1.4,-0.4,-1.3,2.3,41459.0,20939.0,13844.0,41636.0
2002-09-01,-4.9,2.0,-1.8,-4.7,39419.0,21352.0,13598.0,39665.0
2002-10-01,3.7,0.1,-2.8,4.0,40887.0,21372.0,13222.0,41263.0
2002-11-01,-1.6,-0.2,0.7,-2.7,40238.0,21325.0,13315.0,40145.0
2002-12-01,-8.9,1.4,0.7,-8.9,36652.0,21624.0,13410.0,36557.0
2003-01-01,12.8,-0.1,0.7,12.9,41356.0,21600.0,13504.0,41262.0
2003-02-01,-0.9,1.8,1.0,-1.0,40985.0,21988.0,13636.0,40853.0
2003-03-01,-1.0,-1.7,-0.6,-0.5,40556.0,21610.0,13561.0,40631.0
2003-04-01,-3.6,-0.1,-0.7,-3.5,39106.0,21591.0,13462.0,39205.0
2003-05-01,2.2,-0.1,-1.8,2.6,39977.0,21577.0,13224.0,40215.0
2003-06-01,0.7,-0.8,0.0,0.1,40276.0,21415.0,13226.0,40274.0
2003-07-01,5.0,-0.4,1.0,4.6,42271.0,21321.0,13355.0,42142.0
2003-08-01,-6.4,1.4,0.1,-6.1,39586.0,21621.0,13366.0,39575.0
2003-09-01,9.1,-1.7,3.5,8.0,43200.0,21244.0,13830.0,42736.0
2003-10-01,-1.2,0.3,4.4,-1.6,42676.0,21313.0,14436.0,42070.0
2003-11-01,-1.0,0.5,2.7,-0.6,42229.0,21430.0,14827.0,41838.0
2003-12-01,-1.7,1.1,1.9,-1.5,41514.0,21659.0,15113.0,41228.0
2004-01-01,-1.3,2.9,-0.5,-0.4,40988.0,22278.0,15036.0,41065.0
2004-02-01,3.8,-0.2,2.1,2.9,42565.0,22238.0,15357.0,42244.0
