time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,2.5,-6.2,-0.9,20.0,7664.0,30938.0,125116.0,8804.0
2000-02-01,-20.9,1.9,-0.3,-27.2,6065.0,31525.0,124776.0,6405.0
2000-03-01,-4.1,5.8,0.4,-17.9,5814.0,33350.0,125329.0,5261.0
2000-04-01,26.6,-4.1,-0.4,48.3,7358.0,31971.0,124884.0,7803.0
2000-05-01,-14.5,-4.7,-1.8,8.8,6293.0,30467.0,122687.0,8490.0
2000-06-01,78.5,-2.1,3.2,-13.9,11234.0,29827.0,126612.0,7309.0
2000-07-01,-42.0,-0.5,0.0,-9.9,6521.0,29672.0,126549.0,6584.0
2000-08-01,21.8,-2.7,0.0,21.3,7944.0,28862.0,126504.0,7989.0
2000-09-01,47.5,-1.6,3.1,-2.6,11720.0,28392.0,130443.0,7781.0
2000-10-01,-56.2,-1.2,-1.1,-15.2,5135.0,28044.0,128979.0,6599.0
2000-11-01,96.6,0.6,2.1,11.9,10094.0,28213.0,131689.0,7384.0
2000-12-01,35.4,-1.3,4.9,-2.6,13665.0,27853.0,138159.0,7195.0
2001-01-01,-51.4,-0.4,-0.3,-1.1,6641.0,27745.0,137685.0,7115.0
2001-02-01,18.5,-0.4,-0.3,15.7,7872.0,27627.0,137327.0,8230.0
2001-03-01,24.1,0.5,1.8,-11.4,9773.0,27755.0,139808.0,7292.0
2001-04-01,-15.6,1.0,0.9,-4.2,8246.0,28034.0,141069.0,6985.0
2001-05-01,-14.4,-0.2,-0.4,9.0,7056.0,27976.0,140513.0,7612.0
2001-06-01,23.7,-0.5,0.4,7.3,8728.0,27845.0,141074.0,8167.0
2001-07-01,-32.4,-0.2,-1.2,-7.3,5904.0,27785.0,139407.0,7571.0
2001-08-01,11.0,0.5,-0.8,1.0,6551.0,27919.0,138313.0,7645.0
2001-09-01,-21.7,1.6,-1.8,-1.3,5127.0,28367.0,135892.0,7548.0
2001-10-01,-26.5,0.0,-2.4,-7.0,3768.0,28379.0,132639.0,7021.0
2001-11-01,3.7,-0.8,-2.8,9.2,3908.0,28138.0,128879.0,7668.0
2001-12-01,-17.6,-2.4,-3.3,-2.9,3221.0,27460.0,124656.0,7444.0
2002-01-01,58.0,-1.0,-1.8,-1.2,5089.0,27183.0,122394.0,7351.0
2002-02-01,50.6,0.1,0.2,0.8,7663.0,27214.0,122646.0,7411.0
2002-03-01,-14.8,-4.9,-0.3,-6.9,6532.0,25890.0,122275.0,6903.0
2002-04-01,-33.9,-3.0,-1.7,-7.1,4317.0,25108.0,120178.0,6414.0
2002-05-01,36.3,-0.2,-0.2,-4.1,5886.0,25065.0,119913.0,6151.0
2002-06-01,-56.8,0.8,-2.7,-6.3,2541.0,25254.0,116691.0,5763.0
2002-07-01,131.5,-2.4,-0.4,9.9,5883.0,24643.0,116238.0,6336.0
2002-08-01,40.9,0.3,2.5,-15.6,8287.0,24707.0,119175.0,5350.0
2002-09-01,-49.7,-1.5,-1.5,10.9,4167.0,24333.0,117410.0,5932.0
