time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,-0.8,-1.5,0.6,5.0,69082.0,124434.0,247110.0,67575.0
2000-02-01,-10.2,1.0,-0.4,-6.8,62039.0,125667.0,246186.0,62963.0
2000-03-01,8.2,1.3,0.9,2.9,67103.0,127272.0,248513.0,64776.0
2000-04-01,3.1,-0.6,0.2,6.2,69174.0,126474.0,248916.0,68771.0
2000-05-01,-2.7,-0.1,-0.4,-0.6,67333.0,126295.0,247908.0,68341.0
2000-06-01,13.1,0.2,3.5,-1.1,76145.0,126533.0,256473.0,67580.0
2000-07-01,-10.8,1.0,0.4,-1.0,67891.0,127742.0,257487.0,66877.0
2000-08-01,2.6,0.7,0.6,2.0,69689.0,128669.0,258969.0,68207.0
2000-09-01,7.7,-0.2,2.2,1.7,75032.0,128372.0,264610.0,69391.0
2000-10-01,-12.4,1.1,-0.6,-3.2,65726.0,129840.0,263137.0,67199.0
2000-11-01,4.9,1.0,0.5,0.8,68968.0,131081.0,264346.0,67759.0
2000-12-01,4.7,0.4,1.5,0.7,72194.0,131655.0,268323.0,68217.0
2001-01-01,-12.4,0.7,-1.0,-3.4,63251.0,132532.0,265644.0,65930.0
2001-02-01,2.4,-0.2,-0.8,1.6,64748.0,132286.0,263399.0,66993.0
2001-03-01,-0.8,-0.9,-0.4,-2.4,64218.0,131090.0,262237.0,65380.0
2001-04-01,-8.0,-1.0,-1.0,-5.8,59075.0,129731.0,259694.0,61618.0
2001-05-01,1.3,-0.7,-0.8,0.6,59859.0,128779.0,257577.0,61976.0
2001-06-01,-0.2,-1.1,-0.8,-0.2,59725.0,127389.0,255478.0,61824.0
2001-07-01,-7.0,-1.8,-1.5,-3.9,55569.0,125086.0,251638.0,59409.0
2001-08-01,2.6,-0.8,-0.9,-0.2,57022.0,124042.0,249398.0,59262.0
2001-09-01,-7.8,-2.0,-2.1,-2.6,52585.0,121606.0,244241.0,57742.0
2001-10-01,-4.6,-1.5,-2.6,-2.1,50181.0,119761.0,237875.0,56547.0
2001-11-01,4.7,-1.7,-1.4,-1.3,52555.0,117761.0,234597.0,55833.0
2001-12-01,0.4,-2.4,-1.7,1.7,52756.0,114908.0,230560.0,56793.0
2002-01-01,-6.0,-0.6,-2.3,-3.5,49589.0,114263.0,225327.0,54822.0
2002-02-01,9.0,-0.7,-0.6,1.1,54070.0,113467.0,223945.0,55452.0
2002-03-01,-6.5,-1.7,-2.2,0.0,50575.0,111566.0,219076.0,55444.0
2002-04-01,2.3,-0.9,-1.3,-1.5,51737.0,110557.0,216223.0,54590.0
2002-05-01,4.0,-0.6,-0.8,1.6,53818.0,109866.0,214568.0,55473.0
2002-06-01,-8.2,-0.2,-2.6,-0.9,49427.0,109646.0,209008.0,54987.0
2002-07-01,6.9,-0.5,-0.8,-0.9,52835.0,109092.0,207368.0,54475.0
2002-08-01,7.5,-0.6,1.0,0.4,56817.0,108430.0,209480.0,54705.0
2002-09-01,-11.2,-0.3,-1.9,-0.5,50471.0,108143.0,205502.0,54449.0
2002-10-01,2.9,-0.8,-0.8,-1.4,51940.0,107235.0,203769.0,53673.0
2002-11-01,0.0,-0.4,-1.0,0.5,51932.0,106807.0,201784.0,53917.0
2002-12-01,-1.3,1.3,-0.6,-2.7,51237.0,108147.0,200536.0,52485.0
2003-01-01,1.0,-1.1,0.1,-1.8,51724.0,106958.0,200711.0,51549.0
2003-02-01,0.1,-0.8,-0.3,1.4,51771.0,106088.0,200192.0,52290.0
2003-03-01,3.1,-0.6,0.2,1.2,53379.0,105428.0,200634.0,52937.0
2003-04-01,-3.4,-1.1,0.1,-2.9,51568.0,104218.0,200777.0,51425.0
2003-05-01,2.5,-0.3,0.2,1.8,52832.0,103891.0,201277.0,52332.0
2003-06-01,-0.2,-1.3,-0.3,1.8,52705.0,102537.0,200712.0,53270.0
2003-07-01,-0.9,-1.7,-0.5,0.0,52247.0,100763.0,199681.0,53278.0
2003-08-01,-0.6,-0.5,0.0,-2.6,51912.0,100275.0,199704.0,51889.0
2003-09-01,5.8,-0.2,0.6,3.7,54924.0,100113.0,200836.0,53792.0
2003-10-01,-1.3,0.0,0.5,-1.0,54231.0,100101.0,201832.0,53235.0
2003-11-01,-0.8,-1.0,-0.1,1.6,53818.0,99068.0,201546.0,54104.0
2003-12-01,2.9,0.1,0.7,-0.4,55374.0,99119.0,203047.0,53873.0
2004-01-01,-4.3,-1.2,0.1,-1.9,53000.0,97887.0,203174.0,52873.0
2004-02-01,2.7,-0.1,0.9,-0.6,54440.0,97823.0,205063.0,52551.0
2004-03-01,7.1,-0.4,1.7,4.2,58317.0,97413.0,208609.0,54771.0
2004-04-01,-7.2,-0.1,0.1,-1.6,54141.0,97354.0,208861.0,53889.0
2004-05-01,3.0,0.4,0.9,0.2,55785.0,97743.0,210638.0,54008.0
2004-06-01,1.0,0.6,0.6,1.9,56353.0,98330.0,211947.0,55044.0
2004-07-01,9.3,0.5,3.2,-0.3,61571.0,98803.0,218645.0,54873.0
2004-08-01,-11.0,0.5,-0.2,0.8,54795.0,99273.0,218133.0,55307.0
2004-09-01,8.3,-0.8,1.6,1.2,59343.0,98470.0,221518.0,55958.0
2004-10-01,-4.5,0.0,-0.2,1.8,56647.0,98449.0,221183.0,56982.0
2004-11-01,7.7,1.1,2.6,-3.2,61024.0,99552.0,227031.0,55176.0
2004-12-01,-1.2,-0.7,1.1,4.7,60317.0,98900.0,229584.0,57764.0
2005-01-01,2.6,1.4,1.3,2.1,61857.0,100267.0,232456.0,58985.0
2005-02-01,0.7,1.5,1.8,-1.5,62307.0,101743.0,236640.0,58123.0
2005-03-01,-5.5,1.0,0.1,0.9,58897.0,102810.0,236865.0,58672.0
2005-04-01,3.5,0.0,0.4,2.4,60960.0,102810.0,237742.0,60083.0
2005-05-01,19.8,1.1,5.6,-0.6,73042.0,103992.0,251045.0,59739.0
2005-06-01,-3.9,0.2,3.9,1.2,70201.0,104185.0,260795.0,60451.0
2005-07-01,-8.2,2.0,1.9,-1.6,64436.0,106226.0,265745.0,59486.0
2005-08-01,7.0,1.0,2.9,2.8,68920.0,107274.0,273485.0,61180.0
2005-09-01,-9.0,1.1,1.1,-2.5,62715.0,108417.0,276532.0,59668.0
2005-10-01,7.3,0.6,1.8,4.3,67294.0,109045.0,281604.0,62222.0
2005-11-01,20.9,0.9,6.2,2.7,81362.0,110023.0,299094.0,63872.0
2005-12-01,-3.0,0.5,4.1,4.1,78881.0,110573.0,311502.0,66473.0
2006-01-01,-12.4,1.1,1.8,-4.7,69074.0,111810.0,317233.0,63343.0
2006-02-01,2.3,0.1,1.6,3.4,70649.0,111918.0,322399.0,65483.0
2006-03-01,10.3,0.7,3.6,1.2,77906.0,112717.0,334032.0,66273.0
2006-04-01,-8.7,1.4,1.8,-1.9,71120.0,114271.0,340107.0,65045.0
2006-05-01,1.1,0.1,1.6,2.3,71934.0,114405.0,345530.0,66511.0
2006-06-01,-1.0,1.5,1.4,-0.4,71231.0,116101.0,350526.0,66235.0
2006-07-01,-2.4,1.2,1.1,-1.0,69535.0,117511.0,354457.0,65604.0
2006-08-01,-2.5,0.0,0.1,2.6,67780.0,117563.0,354950.0,67287.0
2006-09-01,28.0,1.9,5.7,-0.9,86771.0,119809.0,375034.0,66687.0
2006-10-01,-12.3,1.2,2.7,-0.8,76107.0,121305.0,384983.0,66158.0
2006-11-01,-1.0,-0.3,2.0,2.4,75348.0,120899.0,392614.0,67717.0
2006-12-01,5.9,1.3,3.0,0.1,79761.0,122442.0,404587.0,67788.0
2007-01-01,-8.6,0.2,1.7,-2.6,72901.0,122665.0,411443.0,66045.0
2007-02-01,2.8,0.8,1.7,2.6,74961.0,123598.0,418620.0,67784.0
2007-03-01,11.5,0.5,3.5,1.7,83612.0,124206.0,433291.0,68941.0
2007-04-01,-0.4,0.0,3.2,0.9,83261.0,124203.0,446959.0,69593.0
2007-05-01,-7.0,1.5,1.8,-0.1,77474.0,126095.0,454914.0,69519.0
2007-06-01,4.8,0.3,2.4,0.8,81194.0,126438.0,466046.0,70062.0
2007-07-01,0.3,-0.4,2.8,-2.6,81461.0,125875.0,479259.0,68248.0
2007-08-01,-5.4,0.8,1.3,4.1,77094.0,126848.0,485309.0,71044.0
2007-09-01,2.7,1.0,1.5,0.8,79156.0,128139.0,492829.0,71636.0
2007-10-01,-2.6,0.7,1.2,-0.6,77092.0,129064.0,498732.0,71189.0
2007-11-01,2.8,1.2,1.8,-1.0,79283.0,130580.0,507554.0,70461.0
2007-12-01,10.7,0.6,3.3,0.9,87730.0,131347.0,524218.0,71066.0
2008-01-01,-2.4,0.7,2.5,2.3,85602.0,132272.0,537108.0,72712.0
2008-02-01,-5.6,0.0,1.9,-2.6,80850.0,132243.0,547111.0,70847.0
2008-03-01,2.1,1.3,2.2,-0.3,82581.0,133983.0,559028.0,70664.0
2008-04-01,-4.0,-0.4,1.2,2.9,79313.0,133412.0,565651.0,72690.0
2008-05-01,-2.9,-0.1,0.9,-1.0,76983.0,133335.0,570646.0,71988.0
2008-06-01,-0.9,-0.3,0.8,-0.1,76282.0,132925.0,575004.0,71924.0
2008-07-01,-2.1,0.6,0.6,-0.8,74644.0,133729.0,578334.0,71314.0
2008-08-01,-4.6,0.2,0.4,-3.0,71246.0,133951.0,580409.0,69171.0
2008-09-01,-0.8,-0.6,0.0,1.8,70681.0,133116.0,580663.0,70427.0
2008-10-01,-8.1,0.2,-0.3,-5.5,64965.0,133334.0,579089.0,66539.0
2008-11-01,-5.6,0.1,-0.6,-2.3,61322.0,133497.0,575384.0,65027.0
2008-12-01,-10.7,0.6,-2.0,1.8,54777.0,134264.0,563945.0,66216.0
2009-01-01,-10.4,-0.1,-2.3,-5.9,49061.0,134107.0,550719.0,62287.0
2009-02-01,-3.0,0.0,-2.4,-2.6,47589.0,134074.0,537620.0,60688.0
2009-03-01,-2.4,-1.5,-2.4,-2.2,46437.0,132065.0,524702.0,59355.0
2009-04-01,-3.9,-0.2,-2.4,-3.8,44615.0,131744.0,512225.0,57092.0
2009-05-01,8.0,-0.8,-1.7,-0.7,48173.0,130731.0,503708.0,56690.0
2009-06-01,2.5,-1.1,-1.5,0.5,49376.0,129324.0,496110.0,56974.0
2009-07-01,3.7,-0.9,-1.2,-0.1,51190.0,128210.0,490380.0,56920.0
2009-08-01,0.2,-1.3,-0.8,-2.7,51317.0,126522.0,486321.0,55376.0
2009-09-01,-1.4,-1.1,-1.6,5.5,50601.0,125151.0,478506.0,58416.0
2009-10-01,1.5,0.7,-1.2,-2.2,51372.0,126066.0,472719.0,57159.0
2009-11-01,-1.5,0.7,-1.5,1.0,50603.0,126958.0,465607.0,57715.0
2009-12-01,-1.9,-1.0,-2.1,2.5,49624.0,125685.0,456046.0,59185.0
2010-01-01,14.7,0.6,-0.3,-1.7,56916.0,126393.0,454784.0,58178.0
2010-02-01,9.1,0.6,0.8,0.5,62116.0,127094.0,458459.0,58441.0
2010-03-01,-5.2,-0.3,-0.2,2.3,58873.0,126654.0,457529.0,59803.0
2010-04-01,0.4,0.8,-0.1,-0.3,59108.0,127608.0,457025.0,59612.0
2010-05-01,8.3,1.1,0.9,0.2,64043.0,128980.0,461344.0,59724.0
2010-06-01,-1.6,1.4,0.5,1.7,63013.0,130797.0,463638.0,60719.0
2010-07-01,-6.4,0.7,-0.6,1.9,58990.0,131714.0,460766.0,61862.0
2010-08-01,8.4,0.7,0.6,-1.5,63920.0,132680.0,463754.0,60932.0
2010-09-01,10.3,1.9,1.9,1.2,70531.0,135252.0,472620.0,61665.0
2010-10-01,-5.3,1.2,1.1,-0.4,66779.0,136863.0,477981.0,61418.0
2010-11-01,-4.3,1.0,0.4,0.8,63913.0,138275.0,480013.0,61881.0
2010-12-01,-5.9,0.9,-0.7,2.5,60121.0,139469.0,476681.0,63453.0
2011-01-01,10.2,1.3,0.6,0.1,66278.0,141345.0,479415.0,63544.0
2011-02-01,-3.6,1.0,0.3,-1.4,63920.0,142732.0,480673.0,62662.0
2011-03-01,14.1,2.0,1.6,3.8,72943.0,145609.0,488579.0,65037.0
