time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,-2.3,0.2,1.6,3.0,63975.0,99833.0,152015.0,61639.0
2000-02-01,-8.6,0.6,-0.6,-3.6,58497.0,100460.0,151112.0,59400.0
2000-03-01,8.8,0.0,0.8,5.2,63642.0,100509.0,152262.0,62492.0
2000-04-01,1.2,0.5,0.5,2.0,64414.0,101041.0,152954.0,63722.0
2000-05-01,-1.0,1.4,0.6,-1.5,63753.0,102480.0,153948.0,62759.0
2000-06-01,7.1,0.8,3.3,0.7,68292.0,103301.0,159054.0,63186.0
2000-07-01,-6.9,1.3,0.3,-0.1,63581.0,104613.0,159517.0,63118.0
2000-08-01,1.9,1.5,0.9,0.3,64759.0,106154.0,160940.0,63336.0
2000-09-01,3.0,0.0,1.1,2.6,66733.0,106194.0,162695.0,64978.0
2000-10-01,-4.7,1.6,-0.1,-2.0,63580.0,107883.0,162575.0,63700.0
2000-11-01,-1.6,1.0,-0.6,-0.4,62569.0,109004.0,161673.0,63471.0
2000-12-01,0.0,1.0,-1.1,1.4,62554.0,110122.0,159844.0,64383.0
2001-01-01,-2.8,0.8,-0.9,-3.4,60808.0,110994.0,158448.0,62204.0
2001-02-01,-0.2,-0.1,-0.9,-0.2,60697.0,110909.0,157085.0,62060.0
2001-03-01,-4.2,-1.3,-2.0,-1.2,58146.0,109499.0,153903.0,61328.0
2001-04-01,-5.7,-1.6,-2.1,-5.3,54841.0,107799.0,150683.0,58061.0
2001-05-01,3.2,-0.9,-0.8,-0.4,56599.0,106798.0,149473.0,57809.0
2001-06-01,-2.1,-1.2,-1.2,-0.9,55428.0,105495.0,147631.0,57270.0
2001-07-01,-3.6,-2.3,-1.3,-3.3,53436.0,103108.0,145697.0,55370.0
2001-08-01,1.4,-1.1,-0.7,-0.2,54169.0,101942.0,144607.0,55259.0
2001-09-01,-6.3,-2.7,-2.0,-2.9,50735.0,99230.0,141682.0,53660.0
2001-10-01,-2.0,-1.9,-2.1,-1.6,49736.0,97333.0,138643.0,52775.0
2001-11-01,3.2,-1.8,-0.1,-2.6,51335.0,95571.0,138568.0,51410.0
2001-12-01,-0.1,-2.4,-0.7,1.6,51290.0,93305.0,137637.0,52221.0
2002-01-01,-7.1,-0.7,-1.9,-3.8,47643.0,92665.0,135066.0,50214.0
2002-02-01,5.8,-0.9,-0.7,2.4,50422.0,91798.0,134076.0,51412.0
2002-03-01,-6.1,-0.7,-2.9,-0.3,47371.0,91155.0,130183.0,51264.0
2002-04-01,5.5,-0.3,-0.6,-1.0,49964.0,90925.0,129384.0,50763.0
2002-05-01,1.4,-0.6,-0.9,2.2,50680.0,90369.0,128207.0,51857.0
2002-06-01,-3.6,-0.7,-2.2,-0.3,48847.0,89776.0,125331.0,51723.0
2002-07-01,1.4,0.1,-0.9,-2.2,49531.0,89862.0,124256.0,50606.0
2002-08-01,3.2,-0.7,-0.5,2.3,51112.0,89196.0,123601.0,51767.0
2002-09-01,-5.9,-0.1,-2.4,-1.4,48089.0,89077.0,120649.0,51041.0
