time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,2.7,1.1,1.5,1.4,32351.0,45434.0,12344.0,32165.0
2000-02-01,-2.4,0.3,4.2,-3.4,31587.0,45593.0,12868.0,31063.0
2000-03-01,3.3,0.1,2.9,3.8,32627.0,45624.0,13239.0,32256.0
2000-04-01,0.2,0.5,1.1,0.9,32694.0,45872.0,13385.0,32548.0
2000-05-01,-1.2,-0.3,4.4,-2.6,32303.0,45740.0,13971.0,31717.0
2000-06-01,-5.6,0.4,-8.6,-0.1,30497.0,45929.0,12776.0,31692.0
2000-07-01,4.5,0.4,0.4,0.4,31866.0,46099.0,12832.0,31810.0
2000-08-01,-2.4,0.7,-2.8,-1.1,31106.0,46442.0,12475.0,31463.0
2000-09-01,3.7,0.3,2.4,1.6,32271.0,46563.0,12776.0,31970.0
2000-10-01,0.4,0.5,4.1,-0.3,32390.0,46794.0,13303.0,31863.0
2000-11-01,-3.3,0.4,1.1,-2.1,31325.0,46985.0,13447.0,31181.0
2000-12-01,-0.6,0.1,-1.8,0.6,31133.0,47030.0,13199.0,31381.0
2001-01-01,-2.1,0.5,-2.5,-1.8,30480.0,47252.0,12869.0,30810.0
2001-02-01,1.9,-0.1,-2.2,1.7,31070.0,47207.0,12591.0,31348.0
2001-03-01,-5.6,0.0,-10.6,-2.1,29340.0,47190.0,11254.0,30677.0
2001-04-01,2.3,-0.7,-7.5,0.6,30018.0,46867.0,10411.0,30861.0
2001-05-01,2.3,0.2,-6.0,1.6,30715.0,46942.0,9786.0,31340.0
2001-06-01,0.2,0.2,-3.6,-0.6,30790.0,47058.0,9429.0,31147.0
2001-07-01,1.6,-0.9,0.8,0.2,31281.0,46633.0,9504.0,31206.0
2001-08-01,-0.9,-0.8,-1.6,-0.2,30984.0,46254.0,9348.0,31140.0
2001-09-01,-1.9,-0.2,-2.1,-1.7,30406.0,46146.0,9155.0,30599.0
2001-10-01,-0.1,-1.1,-2.1,-0.1,30371.0,45654.0,8960.0,30566.0
2001-11-01,0.0,-1.0,0.2,-0.7,30372.0,45192.0,8978.0,30354.0
2001-12-01,0.2,-1.2,1.1,-0.1,30433.0,44631.0,9081.0,30330.0
2002-01-01,3.6,-0.2,1.9,3.3,31519.0,44545.0,9256.0,31344.0
2002-02-01,-0.6,-0.6,-1.0,0.2,31328.0,44268.0,9167.0,31417.0
2002-03-01,-0.7,0.1,-3.1,-0.1,31115.0,44334.0,8883.0,31399.0
2002-04-01,2.7,-0.1,-2.8,2.6,31964.0,44268.0,8632.0,32215.0
2002-05-01,0.6,0.3,0.0,-0.1,32167.0,44387.0,8631.0,32168.0
2002-06-01,-0.1,0.2,-3.0,0.7,32127.0,44492.0,8373.0,32385.0
2002-07-01,0.2,-0.1,-1.8,-0.1,32183.0,44451.0,8219.0,32337.0
2002-08-01,0.3,-0.2,-1.7,0.3,32287.0,44367.0,8080.0,32426.0
2002-09-01,-0.6,1.2,0.9,-1.2,32097.0,44915.0,8155.0,32022.0
2002-10-01,1.7,0.0,3.7,1.0,32630.0,44909.0,8456.0,32329.0
2002-11-01,-0.2,0.1,0.3,0.7,32572.0,44962.0,8479.0,32549.0
2002-12-01,-0.5,0.3,-0.7,-0.2,32415.0,45097.0,8418.0,32476.0
2003-01-01,-0.5,0.6,0.4,-0.8,32243.0,45350.0,8450.0,32211.0
2003-02-01,0.0,0.7,3.9,-0.9,32239.0,45676.0,8779.0,31910.0
2003-03-01,-0.9,0.5,-4.2,1.2,31939.0,45899.0,8410.0,32308.0
2003-04-01,0.3,0.0,3.2,-1.7,32035.0,45885.0,8677.0,31768.0
2003-05-01,-0.1,-0.2,0.2,0.7,31997.0,45791.0,8697.0,31977.0
2003-06-01,1.2,-0.6,1.1,0.9,32368.0,45534.0,8795.0,32270.0
2003-07-01,1.6,0.2,-0.8,2.1,32872.0,45628.0,8725.0,32942.0
