time,MPCNO,MPCTI,MPCUO,MPCVS,NO,TI,UO,VS
2000-01-01,1.3,-0.9,0.9,4.6,76241.0,144881.0,352643.0,73095.0
2000-02-01,-11.9,0.8,-0.3,-6.5,67201.0,145982.0,351488.0,68356.0
2000-03-01,5.5,0.3,0.1,3.1,70876.0,146421.0,351908.0,70456.0
2000-04-01,2.6,-0.3,-0.4,5.3,72742.0,146003.0,350425.0,74225.0
2000-05-01,-0.5,-0.4,-0.4,-0.5,72356.0,145385.0,348937.0,73844.0
2000-06-01,41.0,0.6,8.2,-0.6,102038.0,146316.0,377592.0,73383.0
2000-07-01,-28.7,0.2,0.1,-1.4,72717.0,146676.0,377965.0,72344.0
2000-08-01,3.5,0.3,0.4,1.7,75259.0,147158.0,379633.0,73591.0
2000-09-01,5.5,0.0,1.2,1.7,79424.0,147165.0,384225.0,74832.0
2000-10-01,-11.1,0.6,-0.5,-2.9,70588.0,148043.0,382150.0,72663.0
2000-11-01,6.9,1.0,0.5,1.0,75479.0,149524.0,384204.0,73425.0
2000-12-01,-0.9,-0.4,0.2,1.0,74774.0,148992.0,384834.0,74144.0
2001-01-01,-9.6,0.6,-1.1,-3.2,67577.0,149837.0,380651.0,71760.0
2001-02-01,3.7,-0.7,-0.6,1.1,70095.0,148829.0,378216.0,72530.0
2001-03-01,3.4,-1.3,0.4,-2.3,72487.0,146886.0,379829.0,70874.0
2001-04-01,-10.7,-0.6,-0.7,-5.1,64762.0,146032.0,377329.0,67262.0
2001-05-01,2.0,-1.0,-0.5,0.9,66085.0,144595.0,375520.0,67894.0
2001-06-01,-2.0,-1.5,-0.9,0.6,64759.0,142377.0,372011.0,68268.0
2001-07-01,-5.1,-1.7,-1.1,-4.0,61433.0,139976.0,367916.0,65528.0
2001-08-01,1.3,-0.8,-0.9,0.0,62204.0,138823.0,364601.0,65519.0
2001-09-01,-3.3,-1.8,-1.1,-2.0,60177.0,136372.0,360561.0,64217.0
2001-10-01,13.5,-1.7,1.5,-2.1,68325.0,134087.0,366042.0,62844.0
2001-11-01,-14.7,-1.5,-1.0,-1.5,58257.0,132034.0,362372.0,61927.0
2001-12-01,1.5,-2.5,-1.3,3.3,59116.0,128670.0,357539.0,63949.0
2002-01-01,-9.2,-0.4,-2.1,-4.1,53699.0,128198.0,349931.0,61307.0
2002-02-01,16.3,-0.5,0.3,0.1,62441.0,127551.0,351017.0,61355.0
2002-03-01,-4.9,-1.6,-0.7,1.0,59396.0,125478.0,348442.0,61971.0
2002-04-01,-2.1,-0.7,-0.8,-1.9,58175.0,124625.0,345800.0,60817.0
2002-05-01,1.5,-0.6,-0.8,1.4,59049.0,123879.0,343156.0,61693.0
2002-06-01,-6.0,-0.2,-1.7,-0.5,55531.0,123681.0,337290.0,61397.0
2002-07-01,5.2,-0.6,-0.7,-1.1,58431.0,122916.0,334976.0,60745.0
2002-08-01,9.2,0.0,0.9,0.3,63805.0,122917.0,337868.0,60913.0
2002-09-01,-9.6,-0.5,-1.0,0.2,57660.0,122290.0,334491.0,61037.0
2002-10-01,-2.0,-0.8,-1.1,-1.6,56513.0,121337.0,330972.0,60032.0
2002-11-01,2.1,-0.4,-0.9,1.2,57676.0,120853.0,327917.0,60731.0
2002-12-01,1.0,1.4,-0.2,-3.2,58269.0,122538.0,327423.0,58763.0
2003-01-01,1.3,-1.1,0.2,-0.5,59039.0,121151.0,327987.0,58475.0
2003-02-01,2.5,-0.6,0.4,1.1,60499.0,120434.0,329355.0,59131.0
2003-03-01,1.6,-0.7,0.5,1.3,61486.0,119622.0,330917.0,59924.0
2003-04-01,-0.7,-0.7,0.8,-2.3,61062.0,118788.0,333451.0,58528.0
2003-05-01,1.0,-0.3,0.7,1.4,61649.0,118481.0,335757.0,59343.0
2003-06-01,-2.6,-0.9,0.0,1.4,60068.0,117438.0,335648.0,60177.0
2003-07-01,-0.9,-1.5,-0.4,0.9,59516.0,115681.0,334446.0,60718.0
2003-08-01,2.8,-0.3,0.6,-2.6,61189.0,115294.0,336476.0,59159.0
2003-09-01,2.0,-0.3,0.4,3.5,62432.0,114971.0,337671.0,61237.0
2003-10-01,1.0,0.2,0.7,-1.0,63046.0,115239.0,340109.0,60608.0
2003-11-01,-3.1,-0.7,0.1,0.3,61086.0,114381.0,340384.0,60811.0
2003-12-01,7.5,0.5,1.3,0.7,65685.0,114917.0,344824.0,61245.0
2004-01-01,-4.6,-1.2,0.7,-1.5,62652.0,113512.0,347129.0,60347.0
2004-02-01,1.4,0.3,0.6,1.6,63554.0,113817.0,349368.0,61315.0
2004-03-01,4.9,-0.4,1.3,1.6,66677.0,113337.0,353772.0,62273.0
2004-04-01,-5.1,0.1,0.5,-1.4,63293.0,113474.0,355667.0,61398.0
2004-05-01,-1.2,0.7,0.2,0.5,62519.0,114238.0,356472.0,61714.0
2004-06-01,4.5,0.9,0.9,0.9,65316.0,115241.0,359536.0,62252.0
2004-07-01,7.2,0.4,2.1,0.5,70005.0,115736.0,366997.0,62544.0
2004-08-01,-12.7,0.5,-0.5,0.7,61084.0,116281.0,365125.0,62956.0
2004-09-01,11.5,-0.4,1.3,0.7,68091.0,115813.0,369850.0,63366.0
2004-10-01,-3.8,0.3,0.2,2.0,65530.0,116152.0,370759.0,64621.0
2004-11-01,4.8,1.5,1.6,-3.0,68698.0,117934.0,376790.0,62667.0
2004-12-01,-2.1,-0.3,0.6,4.0,67288.0,117611.0,378930.0,65148.0
2005-01-01,1.6,0.9,0.5,1.8,68340.0,118706.0,380960.0,66310.0
2005-02-01,1.2,1.1,1.0,-1.2,69153.0,120048.0,384599.0,65514.0
2005-03-01,-6.4,0.2,-0.4,1.0,64756.0,120319.0,383197.0,66158.0
2005-04-01,4.6,-0.1,0.0,2.4,67707.0,120144.0,383157.0,67747.0
2005-05-01,19.2,0.9,3.4,-0.2,80675.0,121271.0,396203.0,67629.0
2005-06-01,-1.9,-0.3,2.7,1.1,79152.0,120954.0,407015.0,68340.0
2005-07-01,-10.6,2.0,0.9,-2.1,70801.0,123359.0,410878.0,66938.0
2005-08-01,6.1,0.5,1.5,2.8,75142.0,123936.0,417205.0,68815.0
2005-09-01,-7.5,1.0,0.5,-1.8,69505.0,125148.0,419158.0,67552.0
2005-10-01,8.1,0.5,1.3,3.4,75145.0,125759.0,424431.0,69872.0
2005-11-01,15.8,0.8,3.7,2.1,87032.0,126757.0,440093.0,71370.0
2005-12-01,-1.2,0.3,2.6,4.2,86008.0,127158.0,451740.0,74361.0
2006-01-01,-15.8,0.5,0.3,-4.6,72395.0,127793.0,453231.0,70904.0
2006-02-01,11.0,0.2,1.8,2.0,80337.0,128094.0,461213.0,72355.0
2006-03-01,8.2,0.8,2.9,1.8,86956.0,129155.0,474527.0,73642.0
2006-04-01,-9.4,1.2,1.3,-1.5,78811.0,130709.0,480822.0,72516.0
2006-05-01,0.0,0.3,1.0,1.8,78811.0,131077.0,485807.0,73826.0
2006-06-01,4.0,1.2,1.7,-0.1,81993.0,132647.0,494040.0,73760.0
2006-07-01,-6.5,1.4,0.8,-1.4,76650.0,134474.0,497982.0,72708.0
2006-08-01,-0.5,0.1,0.3,3.0,76258.0,134670.0,499336.0,74904.0
2006-09-01,31.4,1.8,5.2,-1.1,100171.0,137078.0,525444.0,74063.0
2006-10-01,-17.4,1.1,1.7,-0.1,82776.0,138574.0,534253.0,73967.0
2006-11-01,4.7,-0.2,2.1,2.0,86640.0,138358.0,545460.0,75433.0
2006-12-01,1.4,0.8,2.2,0.3,87866.0,139499.0,557632.0,75694.0
2007-01-01,-4.6,0.5,1.8,-2.3,83798.0,140243.0,567484.0,73946.0
2007-02-01,-1.4,0.6,1.2,2.6,82635.0,141108.0,574249.0,75870.0
2007-03-01,8.0,0.3,2.2,1.3,89269.0,141478.0,586654.0,76864.0
2007-04-01,2.0,0.3,2.3,1.1,91097.0,141914.0,600058.0,77693.0
2007-05-01,-5.4,1.2,1.4,0.0,86158.0,143670.0,608495.0,77721.0
2007-06-01,1.0,0.3,1.5,0.4,87046.0,144087.0,617477.0,78064.0
2007-07-01,4.2,-0.3,2.2,-1.3,90716.0,143679.0,631111.0,77082.0
2007-08-01,-1.7,0.6,1.5,3.4,89142.0,144529.0,640566.0,79687.0
2007-09-01,-4.0,1.1,0.9,0.4,85570.0,146101.0,646146.0,79990.0
2007-10-01,3.1,0.8,1.3,-0.4,88264.0,147221.0,654703.0,79707.0
2007-11-01,-4.0,1.2,0.8,-0.5,84742.0,148961.0,660174.0,79271.0
2007-12-01,19.7,0.8,3.3,0.8,101457.0,150191.0,681761.0,79870.0
2008-01-01,-5.4,0.4,2.1,2.6,95998.0,150780.0,695791.0,81968.0
2008-02-01,-4.8,0.0,1.6,-2.4,91359.0,150846.0,707179.0,79971.0
2008-03-01,1.0,0.9,1.7,0.3,92316.0,152270.0,719245.0,80250.0
2008-04-01,-3.8,-0.3,0.8,3.2,88809.0,151844.0,725237.0,82817.0
2008-05-01,-1.8,-0.2,0.7,-1.2,87207.0,151547.0,730619.0,81825.0
2008-06-01,-0.2,-0.6,0.7,-0.2,87004.0,150626.0,735942.0,81681.0
2008-07-01,-3.3,0.5,0.4,-0.7,84164.0,151312.0,738969.0,81137.0
2008-08-01,-3.3,-0.1,0.3,-2.7,81400.0,151102.0,741413.0,78956.0
2008-09-01,5.1,-0.8,0.7,1.4,85561.0,149837.0,746880.0,80094.0
2008-10-01,-13.9,0.1,-0.4,-4.7,73689.0,150045.0,744224.0,76345.0
2008-11-01,-6.3,0.2,-0.7,-2.5,69082.0,150278.0,738851.0,74455.0
2008-12-01,3.7,0.3,-0.5,0.8,71668.0,150665.0,735435.0,75084.0
2009-01-01,-24.2,0.5,-2.2,-5.7,54322.0,151462.0,718984.0,70773.0
2009-02-01,2.8,-0.1,-2.1,-0.1,55869.0,151378.0,704185.0,70668.0
2009-03-01,-2.2,-1.2,-2.0,-2.4,54617.0,149629.0,689796.0,69006.0
2009-04-01,2.6,0.0,-1.6,-2.7,56046.0,149693.0,678708.0,67134.0
2009-05-01,5.0,-0.5,-1.2,-0.5,58852.0,149004.0,670776.0,66784.0
2009-06-01,-4.0,-1.1,-1.6,1.0,56515.0,147380.0,659833.0,67458.0
2009-07-01,5.5,-0.5,-1.1,-0.5,59626.0,146703.0,652322.0,67137.0
2009-08-01,-0.5,-1.1,-1.0,-1.7,59329.0,145036.0,645670.0,65981.0
2009-09-01,1.0,-0.8,-1.4,4.8,59895.0,143830.0,636392.0,69173.0
2009-10-01,0.3,1.1,-1.3,-1.6,60074.0,145395.0,628433.0,68033.0
2009-11-01,-2.9,1.0,-1.7,1.2,58306.0,146783.0,617898.0,68841.0
2009-12-01,0.3,-0.9,-1.8,1.0,58500.0,145498.0,606897.0,69501.0
2010-01-01,19.1,1.0,-0.1,0.8,69686.0,146980.0,606530.0,70053.0
2010-02-01,7.0,0.5,0.8,-0.3,74546.0,147689.0,611237.0,69839.0
2010-03-01,-3.9,-0.3,0.1,1.7,71670.0,147236.0,611852.0,71055.0
2010-04-01,-1.3,0.4,0.0,-0.2,70717.0,147792.0,611637.0,70932.0
2010-05-01,7.3,0.8,0.9,-0.6,75861.0,148925.0,616993.0,70505.0
2010-06-01,-4.2,1.2,0.2,1.1,72704.0,150753.0,618415.0,71282.0
2010-07-01,-3.5,0.7,-0.4,2.1,70156.0,151838.0,615795.0,72776.0
2010-08-01,6.6,0.5,0.6,-2.1,74808.0,152609.0,619374.0,71229.0
2010-09-01,10.9,1.6,1.7,1.7,82937.0,155109.0,629842.0,72469.0
2010-10-01,-7.8,1.1,0.7,-0.8,76464.0,156892.0,634411.0,71895.0
2010-11-01,-0.3,1.3,0.6,0.6,76245.0,158946.0,638364.0,72292.0
2010-12-01,-6.9,0.7,-0.5,2.2,70984.0,160079.0,635475.0,73873.0
2011-01-01,13.0,1.2,1.0,0.0,80209.0,162066.0,641813.0,73871.0
2011-02-01,-6.6,0.7,0.2,-0.7,74879.0,163231.0,643356.0,73336.0
2011-03-01,14.3,2.3,1.5,3.4,85619.0,167046.0,653110.0,75865.0
2011-04-01,-9.2,0.7,0.3,-0.1,77738.0,168249.0,655088.0,75760.0
2011-05-01,7.4,1.3,1.2,0.1,83490.0,170385.0,662715.0,75863.0
2011-06-01,-5.0,0.5,0.4,0.7,79278.0,171171.0,665636.0,76357.0
2011-07-01,0.1,0.8,0.4,0.7,79389.0,172489.0,668160.0,76865.0
2011-08-01,15.5,0.6,1.8,4.1,91715.0,173536.0,679893.0,79982.0
2011-09-01,-12.3,-0.6,0.3,-1.5,80478.0,172554.0,681594.0,78777.0
2011-10-01,2.7,0.7,0.6,-0.3,82638.0,173847.0,685674.0,78558.0
2011-11-01,4.3,0.7,1.1,-0.1,86227.0,175014.0,693407.0,78494.0
2011-12-01,6.2,-0.3,1.6,2.9,91592.0,174551.0,704201.0,80798.0
2012-01-01,2.5,0.9,1.7,1.6,93847.0,176082.0,715933.0,82115.0
2012-02-01,0.2,0.4,1.6,0.3,94061.0,176732.0,727648.0,82346.0
2012-03-01,-5.9,0.9,0.7,1.6,88540.0,178319.0,732514.0,83674.0
2012-04-01,-5.6,0.4,0.1,-1.1,83587.0,179097.0,733332.0,82769.0
2012-05-01,2.7,0.5,0.2,2.1,85807.0,180067.0,734600.0,84539.0
2012-06-01,0.8,0.2,0.3,-0.2,86505.0,180490.0,736697.0,84408.0
2012-07-01,6.4,1.1,1.2,-1.5,92065.0,182547.0,745598.0,83164.0
2012-08-01,-22.8,0.8,-1.4,-2.1,71120.0,184006.0,735312.0,81406.0
2012-09-01,21.2,0.2,0.5,1.4,86170.0,184367.0,738916.0,82566.0
2012-10-01,1.0,0.0,0.5,0.7,87026.0,184448.0,742803.0,83139.0
